4576,2004-06-28,Jeopardy!,"Y-R","$400","A short war between Israel & Egypt & Syria in October 1973 was named for this high holiday","Yom Kippur"
4576,2004-06-28,Jeopardy!,"HAIR TODAY","$400","In 2004 this real estate tycoon told People magazine that his signature swept-forward style is his own handiwork","Trump"
4576,2004-06-28,Jeopardy!,"GONE TOMORROW?","$400","The Hine's emerald species of this insect has a wingspan that can reach about 3.5 inches","a dragonfly"
4576,2004-06-28,Jeopardy!,"LUXEMBOURG","$600","During his years in exile, this ""Les Miserables"" author lived for a while in Vianden; his house there is now a museum","Victor Hugo"
4576,2004-06-28,Jeopardy!,"THE CINEMA","$600","The popular soundtrack of this 2000 film includes ""I Am A Man Of Constant Sorrow"" & ""You Are My Sunshine""","O Brother, Where Art Thou?"
4576,2004-06-28,Jeopardy!,"WHAT AM I HAVING?","$600","(<a href=""http://www.j-archive.com/media/2004-06-28_J_10.jpg"" target=""_blank"">Sofia of the Clue Crew delivers the clue from Venice.</a>)  Caffe con zucchero, per favore--I take my coffee with this","sugar"
4576,2004-06-28,Jeopardy!,"Y-R","$600","In October 2002 he made another supersonic flight, 55 years after his first","Chuck Yeager"
4576,2004-06-28,Jeopardy!,"HAIR TODAY","$600","This rastafarian style is Whoopi Goldberg's trademark","dreadlocks"
4576,2004-06-28,Jeopardy!,"GONE TOMORROW?","$600","The endangerment of the New Mexico ridge-nosed species of this snake was caused in part by collectors","a rattlesnake"
4576,2004-06-28,Jeopardy!,"LUXEMBOURG","$2,000","In the 1940s Luxembourg joined with these 2 countries to form a customs union","Belgium & the Netherlands"
4576,2004-06-28,Jeopardy!,"THE CINEMA","$800","It was the mythological container sought by Lara Croft in ""Lara Croft Tomb Raider: The Cradle of Life""","Pandora's box"
4576,2004-06-28,Jeopardy!,"WHAT AM I HAVING?","$800","(<a href=""http://www.j-archive.com/media/2004-06-28_J_11.jpg"" target=""_blank"">Sofia of the Clue Crew delivers the clue from Mexico.</a>)  Voy a comer pollo con mole--I'm having <a href=""http://www.j-archive.com/media/2004-06-28_J_11a.jpg"" target=""_blank"">this</a> in a classic Mexican sauce","chicken"
4576,2004-06-28,Jeopardy!,"Y-R","$800","This Cole was a known associate of Jesse James","Younger"
4576,2004-06-28,Jeopardy!,"HAIR TODAY","$800","This 6-letter hairstyle is ""business in front, party in the back""","a mullet"
4576,2004-06-28,Jeopardy!,"GONE TOMORROW?","$800","Picoides Borealis is the red-cockaded species of this bird, still on the endangered list in 2004","the woodpecker"
4576,2004-06-28,Jeopardy!,"LUXEMBOURG","$1000","The Congress of Vienna in 1815 made Luxembourg a state headed by this type of ruler","a grand duke"
4576,2004-06-28,Jeopardy!,"THE CINEMA","$1000","In this animated film, Henry J. Waternoose says, ""Kids these days.  They just don't get scared like they used to""","Monsters, Inc."
4576,2004-06-28,Jeopardy!,"WHAT AM I HAVING?","$1000","(<a href=""http://www.j-archive.com/media/2004-06-28_J_12.jpg"" target=""_blank"">Sarah of the Clue Crew delivers the clue from the Bronx.</a>)  Hey, Sal, I got some hungry people out here; give me a garbage pie--I just ordered up one of these","a pizza with everything"
4576,2004-06-28,Jeopardy!,"Y-R","$1000","""Savage Sam"" is a sequel to the Fred Gipson book called ""Old"" this","Yeller"
